id | url | detected_activity | severity | timestamp
45 | http://wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion/ | cocaine | High | 2024-11-19 15:10:02
46 | http://wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion/ | cocaine | High | 2024-11-19 15:11:49
47 | http://wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion/ | cocaine | High | 2024-11-19 15:14:22
48 | http://wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion/ | cocaine | High | 2024-11-19 15:20:06
49 | http://wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion/ | cocaine | High | 2024-11-19 15:23:48
50 | http://wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion/ | cocaine | High | 2024-11-19 15:25:38
51 | http://s57divisqlcjtsyutxjz2ww77vlbwpxgodtijcsrgsuts4js5hnxkhqd.onion/ | carding | High | 2024-11-19 15:34:34
52 | http://s57divisqlcjtsyutxjz2ww77vlbwpxgodtijcsrgsuts4js5hnxkhqd.onion/ | carding | High | 2024-11-19 15:38:11
53 | http://s57divisqlcjtsyutxjz2ww77vlbwpxgodtijcsrgsuts4js5hnxkhqd.onion/ | carding | High | 2024-11-19 15:41:52
54 | http://s57divisqlcjtsyutxjz2ww77vlbwpxgodtijcsrgsuts4js5hnxkhqd.onion/ | carding | High | 2024-11-19 15:45:17
55 | http://s57divisqlcjtsyutxjz2ww77vlbwpxgodtijcsrgsuts4js5hnxkhqd.onion/ | carding | High | 2024-11-19 15:50:43
56 | http://s57divisqlcjtsyutxjz2ww77vlbwpxgodtijcsrgsuts4js5hnxkhqd.onion/ | carding | High | 2024-11-19 15:53:45
57 | http://s57divisqlcjtsyutxjz2ww77vlbwpxgodtijcsrgsuts4js5hnxkhqd.onion/ | carding | High | 2024-11-19 15:55:50
58 | http://s57divisqlcjtsyutxjz2ww77vlbwpxgodtijcsrgsuts4js5hnxkhqd.onion/ | carding | High | 2024-11-19 16:00:47
59 | http://s57divisqlcjtsyutxjz2ww77vlbwpxgodtijcsrgsuts4js5hnxkhqd.onion/ | carding | High | 2024-11-19 16:27:52
60 | http://wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion/ | cocaine | High | 2024-11-19 19:58:06
